Время (с),A0 (В)
1.8705029487609863,2.627
1.878544807434082,2.725
1.8872089385986328,2.941
1.8992233276367188,2.451
1.907228946685791,2.176
1.920290231704712,1.745
1.928297996520996,2.412
1.940312147140503,2.176
1.9483222961425781,2.157
1.9613380432128906,1.843
1.9693527221679688,2.431
1.9773576259613037,2.392
1.9893724918365479,2.863
1.9979705810546875,2.686
2.0095789432525635,2.725
2.0180892944335938,2.471
2.0301122665405273,3.118
2.0391900539398193,3.000
2.0512022972106934,3.510
2.0592801570892334,3.431
2.0712900161743164,3.784
2.0793516635894775,3.373
2.0923664569854736,3.725
2.1003777980804443,3.627
2.1084234714508057,4.196
2.120438575744629,3.961
2.128446102142334,3.804
2.1414620876312256,2.941
2.149472713470459,2.471
2.161515474319458,1.529
2.170032262802124,1.784
2.1780495643615723,1.490
2.1900956630706787,1.784
2.1981115341186523,1.745
2.2106175422668457,2.412
2.2181427478790283,2.373
2.231649875640869,2.961
2.2390620708465576,2.941
2.2517287731170654,3.294
2.260331153869629,3.000
2.26829195022583,3.314
2.2799744606018066,2.706
2.289059638977051,2.431
2.301121234893799,1.667
2.3087708950042725,1.608
2.321347713470459,1.255
2.3294665813446045,1.510
2.341485023498535,1.216
2.350017786026001,1.490
2.362548351287842,1.118
2.370561361312866,1.118
2.3825814723968506,0.529
2.390596866607666,0.471
2.403613567352295,0.137
2.4117023944854736,0.431
2.4237279891967773,0.373
2.431755542755127,0.667
2.439785957336426,0.392
2.4519710540771484,0.804
2.460984706878662,0.824
2.4730074405670166,1.373
2.4810266494750977,1.569
2.493006706237793,2.059
2.501513719558716,2.412
2.5140230655670166,3.157
2.5225305557250977,2.980
2.5348172187805176,2.745
2.542330503463745,2.333
2.5543601512908936,2.392
2.562774658203125,2.725
2.571171283721924,2.980
2.5836822986602783,2.922
2.592189073562622,2.824
2.603783369064331,2.412
2.612170934677124,2.196
2.6241931915283203,2.098
2.6330199241638184,2.216
2.644526720046997,1.941
2.653076410293579,1.843
2.6615853309631348,1.941
2.673564910888672,2.157
2.6815929412841797,1.941
2.6946189403533936,1.706
2.7026259899139404,1.627
2.7146570682525635,1.961
2.7227015495300293,2.275
2.7347233295440674,2.373
2.7432310581207275,2.392
2.751481533050537,2.667
2.7634975910186768,2.451
2.771660089492798,2.294
2.7840805053710938,2.471
2.792590618133545,2.510
2.805098295211792,2.608
2.8131680488586426,2.784
2.821678638458252,2.784
2.833189010620117,2.569
2.8416972160339355,2.608
2.8539175987243652,2.627
2.8624255657196045,2.569
2.873934268951416,2.647
2.882967472076416,3.137
2.8950788974761963,3.157
2.902587413787842,3.412
2.915095329284668,3.490
2.923603057861328,3.647
2.9361162185668945,3.373
2.9441747665405273,3.510
2.951709747314453,3.706
2.9642174243927,4.039
2.9727442264556885,3.588
2.9846622943878174,3.314
2.993171215057373,2.922
3.0056817531585693,3.059
3.01407790184021,2.882
3.0255863666534424,2.961
3.034092664718628,2.706
3.0466055870056152,2.647
3.0543899536132812,2.314
3.0668983459472656,2.431
3.075406074523926,2.196
3.082915782928467,2.176
3.0954227447509766,1.922
3.1039319038391113,1.980
3.116511821746826,1.745
3.1240200996398926,2.275
3.136526584625244,2.922
3.1450352668762207,2.941
3.1570584774017334,2.098
3.1655662059783936,1.824
3.1730761528015137,1.333
3.1855831146240234,1.275
3.194091796875,1.569
3.2066009044647217,2.176
3.2141106128692627,2.490
3.226226568222046,2.608
3.234736204147339,2.333
3.2477571964263916,2.333
3.2552649974823,2.059
3.2637758255004883,2.078
3.276280641555786,1.922
3.283877372741699,2.059
3.296389579772949,1.961
3.304898500442505,2.569
3.3170549869537354,2.980
3.3245608806610107,3.333
3.3330702781677246,3.157
3.3455779552459717,3.118
3.3540921211242676,3.118
3.3655991554260254,3.373
3.3741071224212646,3.078
3.386172294616699,3.020
3.394683361053467,2.667
3.406191110610962,2.882
3.414701223373413,2.686
3.4277119636535645,2.608
3.4357166290283203,2.216
3.4477365016937256,2.216
3.4558863639831543,2.235
3.4643938541412354,2.706
3.4769012928009033,2.824
3.4844119548797607,3.118
3.496919870376587,3.078
3.5050735473632812,3.392
3.5176684856414795,3.451
3.5256781578063965,3.627
3.537820339202881,3.431
3.545825242996216,3.216
3.558129072189331,2.706
3.5666298866271973,2.725
3.5792911052703857,2.784
3.586290121078491,3.627
3.5957982540130615,3.686
3.6079108715057373,3.863
3.6160855293273926,3.333
3.6280970573425293,2.471
3.6361021995544434,1.980
3.6481192111968994,2.235
3.6562533378601074,2.157
3.6691644191741943,2.490
3.6762702465057373,2.353
3.685778856277466,2.333
3.6978321075439453,2.235
3.706200122833252,2.588
3.7182135581970215,2.608
3.7268123626708984,3.020
3.7384045124053955,3.294
3.746406316757202,3.608
3.759404182434082,3.020
3.7670719623565674,2.725
3.7755932807922363,2.235
3.787679433822632,2.588
3.7962701320648193,2.490
3.8077893257141113,2.725
3.8167200088500977,2.588
3.8292155265808105,2.529
3.8367371559143066,2.333
3.8452441692352295,2.392
3.8577542304992676,2.059
3.865628719329834,2.196
3.8776957988739014,1.745
3.8857004642486572,1.510
3.8987178802490234,1.255
3.9111974239349365,1.510
3.918710947036743,1.451
3.9312307834625244,2.157
3.9397401809692383,2.431
3.947758913040161,2.510
3.9597294330596924,1.784
3.967729091644287,1.686
3.980785608291626,1.569
3.9888288974761963,1.863
4.000868558883667,1.863
4.008914470672607,2.000
4.016911268234253,1.863
4.0298144817352295,1.980
4.037811756134033,1.863
4.049784183502197,2.176
4.058291673660278,2.294
4.0702738761901855,2.255
4.078785181045532,1.941
