Время (с),A0 (В)
0.6543076038360596,2.608
0.6623072624206543,2.451
0.6743087768554688,2.235
0.6823074817657471,2.196
0.690385103225708,1.824
0.7033848762512207,1.922
0.7114784717559814,2.039
0.7235345840454102,2.471
0.7319297790527344,2.647
0.7439343929290771,3.333
0.7520370483398438,3.373
0.7645964622497559,3.412
0.7721617221832275,2.784
0.7811615467071533,2.275
0.7932143211364746,2.765
0.8052139282226562,3.529
0.8132181167602539,2.725
0.8257343769073486,2.118
0.833742618560791,2.137
0.8460638523101807,2.314
0.8541848659515381,1.863
0.862311601638794,1.980
0.8753175735473633,1.980
0.882317304611206,2.431
0.8960106372833252,2.451
0.9040176868438721,2.451
0.916022539138794,2.333
0.9240241050720215,2.353
0.9361028671264648,2.373
0.944159746170044,2.569
0.9532701969146729,2.157
0.9652678966522217,2.490
0.9732701778411865,2.627
0.98526930809021,2.608
0.994269847869873,2.216
1.0063612461090088,1.922
1.0144071578979492,1.804
1.026925802230835,1.863
1.034982442855835,2.000
1.047048807144165,2.412
1.0550541877746582,2.314
1.0680501461029053,2.333
1.0760467052459717,2.294
1.0840470790863037,2.510
1.0960476398468018,2.490
1.104055643081665,2.431
1.1171259880065918,2.471
1.125119924545288,2.725
1.1374375820159912,2.725
1.1455390453338623,2.588
1.1535394191741943,2.294
1.165539026260376,2.314
1.1745386123657227,2.157
1.186544418334961,2.333
1.1945393085479736,2.431
1.2066411972045898,2.588
1.214644432067871,2.725
1.2272863388061523,2.745
1.2353308200836182,2.627
1.2433371543884277,2.588
1.2558209896087646,2.412
1.264601707458496,2.431
1.276289701461792,2.451
1.2842957973480225,2.569
1.2972993850708008,2.569
1.3052959442138672,2.686
1.317307949066162,2.529
1.3253560066223145,2.392
1.3375422954559326,2.431
1.346538782119751,2.529
1.3585383892059326,2.451
1.366539716720581,2.667
1.374586820602417,2.725
1.3866322040557861,2.431
1.3956310749053955,2.353
1.4076309204101562,2.373
1.4156794548034668,2.314
1.4282371997833252,2.235
1.4362385272979736,2.412
1.4492363929748535,2.333
1.4572370052337646,2.255
1.4652910232543945,2.196
1.4772958755493164,2.255
1.4852895736694336,2.451
1.4973535537719727,2.549
1.505406379699707,2.588
1.5184104442596436,2.608
1.5264105796813965,2.157
1.5385174751281738,1.843
1.5465190410614014,1.647
1.559518575668335,1.882
1.5675160884857178,1.941
1.579566478729248,2.373
1.5875639915466309,2.725
1.5955638885498047,3.235
1.6085638999938965,3.490
1.6165716648101807,3.647
1.629077434539795,3.373
1.6371643543243408,3.353
1.6488745212554932,3.137
1.657874584197998,2.608
1.6658737659454346,2.118
1.6778740882873535,2.078
1.6858735084533691,1.863
1.6979422569274902,1.980
1.7070128917694092,2.275
1.719010591506958,2.216
1.7265803813934326,2.039
1.7395875453948975,2.157
1.7475862503051758,1.824
1.7555854320526123,2.039
1.7675857543945312,2.510
1.7766728401184082,2.510
1.7886714935302734,2.471
1.7966728210449219,2.804
1.8087184429168701,2.804
1.8167555332183838,2.686
1.8292675018310547,2.706
1.8373143672943115,2.647
1.8504045009613037,2.412
1.8584036827087402,2.353
1.8705410957336426,2.510
1.8785896301269531,2.706
1.8865916728973389,2.569
1.8995904922485352,2.569
1.9075934886932373,2.333
1.9195973873138428,1.569
1.9278862476348877,1.569
1.939882516860962,2.216
1.9478871822357178,2.412
1.9608864784240723,2.608
1.9688811302185059,2.627
1.9769246578216553,2.608
1.9889626502990723,2.353
1.9969637393951416,2.569
2.0100152492523193,2.039
2.018085479736328,2.451
2.0306789875030518,3.314
2.0382590293884277,2.980
2.050258159637451,2.510
