Время (с),A0 (В)
7.975524187088013,0.804
7.988048791885376,1.569
7.996088981628418,2.098
8.008602619171143,2.784
8.017104387283325,2.647
8.029626607894897,2.882
8.037626504898071,2.137
8.045138597488403,2.745
8.05815839767456,2.725
8.065675973892212,3.529
8.07818603515625,3.549
8.086700677871704,3.863
8.09838318824768,3.353
8.106898784637451,2.804
8.115421533584595,2.157
8.127446413040161,1.667
8.135847568511963,1.961
8.14835810661316,2.863
8.156227111816406,3.078
8.168532609939575,3.824
8.176530838012695,3.235
8.18913984298706,3.176
8.196136951446533,2.529
8.209165096282959,2.667
8.217166662216187,1.549
8.229506731033325,1.686
8.237804412841797,1.490
8.246315717697144,2.000
8.258827209472656,1.627
8.266618490219116,2.353
8.279139280319214,2.314
8.287453174591064,2.078
8.299795389175415,1.824
8.307310342788696,2.667
8.319868326187134,1.902
8.327988862991333,1.725
8.336495876312256,1.902
8.349191427230835,2.451
8.356771469116211,1.843
8.369275093078613,1.804
8.377277374267578,1.784
8.389791011810303,2.510
8.398156642913818,2.627
8.409672498703003,3.471
8.418189764022827,3.588
8.426701307296753,3.314
8.43821406364441,2.490
8.44724988937378,3.235
8.459477663040161,4.451
8.467849969863892,4.980
8.480071306228638,4.294
8.487588167190552,3.804
8.500105381011963,2.804
8.508614540100098,3.471
8.52073884010315,2.980
8.529255390167236,2.353
8.541548252105713,1.686
8.5495445728302,1.765
8.557592868804932,1.275
8.569620370864868,1.627
8.582656860351562,0.745
8.590656280517578,1.078
8.598712921142578,1.255
8.610824584960938,1.412
8.618950605392456,1.000
8.631469249725342,2.255
8.639983177185059,2.647
8.651503801345825,3.216
8.659557580947876,3.039
8.672466516494751,3.294
8.680824518203735,3.490
8.692342281341553,3.510
8.70085072517395,2.745
8.713373184204102,3.490
8.721877813339233,3.510
8.729883432388306,2.235
8.741900444030762,2.686
8.749913215637207,2.471
8.762935161590576,1.667
8.770461559295654,1.961
8.782979726791382,2.157
8.791495323181152,2.451
8.79900860786438,1.882
8.811522483825684,1.333
8.819871664047241,0.392
8.832381248474121,0.863
8.839895963668823,0.706
8.852760076522827,1.059
8.86089038848877,1.275
8.872926235198975,1.314
8.8809494972229,1.078
8.889586925506592,0.745
8.901614427566528,1.549
8.909618854522705,3.059
8.922131776809692,3.922
8.930644750595093,3.843
8.942732810974121,3.176
8.951255083084106,3.431
8.963303089141846,2.961
8.971813917160034,2.490
8.979329824447632,1.647
8.991844892501831,1.353
8.999955892562866,2.725
9.012466669082642,3.412
9.020990133285522,2.235
9.032514810562134,2.020
9.041020393371582,3.412
9.053539991378784,3.333
9.061542272567749,3.412
9.073595523834229,2.529
9.081598043441772,2.137
9.09414553642273,2.373
9.102774620056152,3.353
9.110291242599487,3.431
9.122802972793579,3.627
9.131070137023926,3.235
9.143594741821289,3.157
9.151124715805054,2.804
9.163635015487671,3.333
9.172321557998657,3.373
9.18384075164795,3.392
9.192867040634155,3.843
9.204380989074707,4.471
9.21307921409607,2.863
9.225162982940674,2.294
9.233684062957764,1.784
9.2416832447052,2.471
9.253703832626343,2.275
9.26171088218689,2.843
9.274776458740234,2.314
9.282856464385986,1.725
9.295372724533081,1.510
9.303409576416016,1.980
9.310927152633667,1.353
9.323441982269287,2.255
9.33193850517273,2.000
9.343452453613281,1.098
9.352200508117676,0.627
9.364723682403564,1.078
9.372277021408081,1.373
9.384791135787964,2.412
9.393303871154785,2.667
9.401302814483643,2.922
9.413814067840576,2.078
9.422191143035889,2.745
9.433333158493042,2.588
9.442850589752197,2.294
9.454370260238647,2.216
9.463016748428345,3.608
9.47525429725647,3.137
9.483257055282593,2.863
9.491591691970825,2.804
9.50411343574524,3.353
9.51162338256836,2.745
9.524137496948242,2.745
9.532448053359985,2.020
9.545157670974731,3.176
9.552661180496216,2.882
9.56517744064331,2.176
9.573806762695312,2.294
9.585328578948975,2.275
9.593336820602417,1.392
9.606505870819092,2.510
9.614508152008057,3.118
9.622572898864746,2.980
9.634669065475464,2.216
9.643188238143921,2.431
9.655706644058228,2.098
9.663228750228882,2.373
9.67625641822815,1.843
9.683771133422852,3.196
9.696282148361206,3.000
9.704798698425293,2.451
9.717321157455444,1.647
9.724830150604248,2.588
9.737153053283691,2.059
9.745213747024536,1.431
9.754210472106934,1.490
9.766429424285889,2.471
9.774439573287964,2.059
9.785595178604126,2.333
9.795111179351807,2.039
9.806629419326782,2.510
9.81538200378418,2.392
9.82350206375122,2.902
9.83532166481018,2.745
9.844362497329712,2.863
9.85657548904419,2.510
9.864625215530396,2.588
9.876219272613525,2.510
9.884729623794556,3.235
9.897237539291382,3.157
9.905746698379517,3.333
9.913757562637329,3.078
9.925782680511475,4.020
9.933790445327759,3.078
9.945304155349731,2.824
9.954335689544678,3.000
9.966511011123657,2.471
9.974894523620605,2.451
9.987408638000488,2.706
9.994931936264038,2.118
10.003459930419922,2.157
10.015977621078491,1.882
10.024491310119629,2.569
10.036007642745972,2.824
10.045066356658936,3.020
10.056588411331177,2.647
10.065093755722046,2.000
10.0771164894104,1.118
10.085626125335693,2.275
10.098297357559204,2.902
10.105899572372437,3.588
10.117911338806152,3.235
10.126921653747559,2.412
10.13894510269165,2.314
10.146957397460938,2.961
10.159474849700928,2.216
10.167032480239868,2.373
10.175143003463745,1.510
10.187663555145264,2.686
10.196172714233398,2.843
10.208297491073608,2.922
10.216811418533325,2.314
10.229326248168945,2.529
10.236841678619385,1.784
10.249072551727295,2.647
10.257585287094116,2.176
10.270099401473999,2.451
10.277608394622803,1.784
10.290131330490112,2.451
10.298131227493286,2.725
10.306421041488647,3.098
10.318934917449951,2.863
10.327450275421143,2.902
10.339965343475342,2.608
10.347476482391357,2.922
10.359512567520142,2.392
10.3681800365448,2.412
10.375693559646606,2.275
10.388432025909424,2.314
10.39694881439209,1.804
10.409464836120605,2.804
10.417524814605713,2.627
10.430041551589966,2.843
10.437551021575928,2.490
10.449944257736206,2.392
10.457940101623535,2.549
10.466967821121216,3.020
10.478499412536621,2.902
10.486852407455444,3.137
10.499171257019043,2.275
10.507686376571655,2.569
10.520199298858643,1.431
10.528251886367798,1.725
10.539766073226929,2.549
10.548283338546753,3.157
10.560797691345215,3.314
10.568814039230347,3.255
10.581322193145752,1.882
10.589855670928955,1.216
10.598366975784302,1.137
10.609892129898071,1.980
10.617470264434814,2.118
10.63050365447998,2.235
10.638501644134521,1.765
10.65102243423462,2.902
10.659443378448486,2.882
10.671063899993896,2.804
10.679576396942139,2.137
10.688092470169067,1.490
10.699605941772461,1.451
10.708121538162231,1.373
10.720595598220825,1.333
10.728236675262451,2.137
10.74083662033081,2.373
10.748872518539429,3.196
10.760974884033203,3.255
10.769542455673218,2.902
10.782069444656372,2.412
10.790591716766357,3.471
10.80211329460144,3.431
10.810108661651611,3.059
10.819249629974365,2.843
10.830765008926392,2.765
10.839279413223267,2.549
10.851315021514893,2.784
10.859836101531982,1.980
10.87196159362793,1.824
10.880478858947754,2.941
10.887990951538086,2.980
10.900513887405396,3.020
10.909027338027954,2.647
10.921541452407837,1.980
10.929645538330078,2.275
10.94216251373291,2.235
10.94999885559082,2.216
10.96236276626587,2.176
10.969980716705322,1.824
10.978150844573975,2.059
10.990662336349487,2.431
10.999175548553467,2.490
11.011698722839355,2.392
