Время (с),A0 (В)
3.323026418685913,2.706
3.3350722789764404,2.078
3.343074321746826,2.490
3.3560779094696045,2.471
3.364135265350342,3.235
3.375755786895752,3.373
3.3847544193267822,4.314
3.3967556953430176,3.941
3.404754638671875,3.353
3.416757106781006,1.843
3.424805164337158,2.039
3.4338064193725586,1.627
3.4459638595581055,2.098
3.4535250663757324,1.373
3.4665963649749756,1.882
3.4745867252349854,1.529
3.4865877628326416,2.157
3.4946300983428955,1.510
3.5026750564575195,1.941
3.515674591064453,1.471
3.5236761569976807,2.157
3.535778045654297,1.765
3.5438716411590576,2.000
3.555875062942505,1.275
3.564875602722168,1.765
3.5763442516326904,1.431
3.5853450298309326,2.275
3.597346067428589,2.314
3.6053993701934814,3.039
3.617441415786743,2.275
3.626443386077881,2.843
3.634441614151001,2.569
3.646544933319092,3.216
3.654587984085083,2.706
3.667097568511963,3.333
3.6750965118408203,2.941
3.6871416568756104,3.627
3.695143222808838,2.961
3.7081422805786133,3.137
3.716141700744629,2.431
3.724141836166382,2.961
3.7361416816711426,2.765
3.7451415061950684,3.824
3.757232189178467,3.333
3.7652695178985596,3.784
3.777339220046997,2.863
3.785337448120117,3.196
3.798471212387085,2.176
3.8065125942230225,2.745
3.8145105838775635,1.941
3.8265089988708496,2.667
3.8345088958740234,1.804
3.847508668899536,2.725
3.8555586338043213,2.235
3.868114948272705,2.745
3.8762149810791016,1.961
3.8882148265838623,2.686
3.8962152004241943,1.824
3.908318281173706,2.549
3.9163658618927,1.824
3.9293651580810547,2.529
3.9373655319213867,1.667
3.945364475250244,2.667
3.9574546813964844,1.980
3.966001272201538,2.863
3.978010416030884,1.902
3.986626148223877,2.686
3.998223304748535,1.824
4.007352590560913,2.745
4.0153539180755615,1.922
4.027354001998901,2.667
4.035351514816284,1.980
4.048352479934692,2.725
4.0563600063323975,1.765
4.06790828704834,2.627
4.076908111572266,1.490
4.088908672332764,2.039
4.09691047668457,1.412
4.108960866928101,2.235
4.117056608200073,1.471
4.130057096481323,2.314
4.138056039810181,1.627
4.146055221557617,2.353
4.15805983543396,1.490
4.16711950302124,2.549
4.179117202758789,2.137
4.187126874923706,2.961
4.199164628982544,2.059
4.206719875335693,2.784
4.219772815704346,2.176
4.227771043777466,3.294
4.236772060394287,2.471
4.2487711906433105,3.118
4.256776571273804,2.235
4.269322633743286,2.980
4.277322292327881,2.000
4.289320230484009,2.745
4.297321081161499,2.020
4.3103203773498535,2.784
4.318417310714722,1.765
4.326464414596558,2.549
4.338463068008423,2.000
4.3464648723602295,2.667
4.359466791152954,1.725
4.36702299118042,2.549
4.380023002624512,1.804
4.388022422790527,2.569
4.400146245956421,1.667
4.408145427703857,2.392
4.42114520072937,2.216
4.429144859313965,2.431
4.441144227981567,2.078
4.449192047119141,2.275
4.462062358856201,1.745
4.469310283660889,2.275
4.4825544357299805,2.137
4.490089178085327,2.412
4.4980762004852295,2.157
4.511235475540161,2.804
4.51927924156189,2.529
4.53169322013855,2.784
4.539752006530762,2.392
4.55181097984314,2.902
4.559811592102051,2.275
4.572435140609741,2.098
4.580491542816162,2.275
4.592490911483765,2.000
4.600491762161255,2.451
4.612933397293091,2.588
4.620973110198975,2.902
4.629974842071533,2.569
4.642013788223267,2.882
4.6501076221466064,2.588
4.662110090255737,2.627
4.670620679855347,2.431
4.6826653480529785,2.863
4.690666198730469,2.392
4.699666976928711,2.255
4.711665868759155,2.157
4.719665288925171,2.510
4.731669664382935,1.980
4.740235805511475,1.588
4.752922534942627,1.490
4.760968208312988,2.196
4.772479295730591,2.412
4.781529903411865,3.078
4.789573669433594,2.706
4.801573991775513,2.902
4.809577226638794,2.392
4.8221495151519775,2.412
4.8301942348480225,2.196
4.8427746295928955,2.824
4.850774765014648,2.784
4.862872123718262,2.863
4.871381998062134,2.451
4.879382610321045,2.902
4.891446590423584,2.490
4.899500846862793,2.784
4.91249942779541,2.529
4.920500993728638,2.706
4.932611703872681,2.510
4.940660715103149,3.137
4.953665256500244,2.686
4.961172580718994,3.020
4.973851680755615,2.471
4.982074499130249,2.549
4.994075298309326,2.294
