Время (с),A0 (В)
3.1436712741851807,2.471
3.155672550201416,2.471
3.1636717319488525,2.627
3.175786018371582,2.510
3.1838488578796387,2.608
3.196171522140503,2.588
3.2046759128570557,2.824
3.2126805782318115,2.588
3.2256813049316406,2.510
3.2336809635162354,2.706
3.245680570602417,2.980
3.2537384033203125,2.824
3.265787363052368,2.706
3.2747914791107178,2.392
3.2868435382843018,2.627
3.2952206134796143,2.725
3.303220510482788,2.745
3.315220355987549,2.490
3.323269844055176,2.392
3.335345983505249,2.314
3.3443448543548584,2.510
3.356471538543701,2.333
3.364537000656128,2.294
3.376542806625366,2.255
3.384542465209961,2.333
3.3971059322357178,2.706
3.4051074981689453,2.627
3.418107271194458,2.667
3.4261057376861572,2.490
3.4341061115264893,2.392
3.44624400138855,2.294
3.4542953968048096,2.431
3.4672954082489014,2.412
3.475299119949341,2.745
3.487804651260376,2.529
3.495809316635132,2.392
3.5038630962371826,2.392
3.515989065170288,2.529
3.5240697860717773,2.412
3.5360705852508545,2.569
3.5451388359069824,2.333
3.5571911334991455,2.490
3.565192222595215,2.471
3.577195882797241,2.510
3.585261583328247,2.353
3.597834825515747,2.412
3.605834484100342,2.059
3.6189544200897217,2.333
3.6271557807922363,2.020
3.635207176208496,2.510
3.6467158794403076,2.706
3.6557154655456543,2.745
3.667715549468994,2.471
3.6757800579071045,2.549
3.6884424686431885,2.255
3.696442127227783,2.392
3.708442449569702,2.255
3.716442108154297,2.490
3.724494695663452,2.255
3.73759126663208,2.353
3.745594024658203,2.353
3.7577064037323,2.627
3.7658004760742188,2.706
3.777806520462036,2.686
3.7858564853668213,2.333
3.7985095977783203,2.647
3.806509256362915,2.471
3.819509506225586,2.569
3.827510356903076,2.608
3.8396382331848145,2.941
3.8477280139923096,2.627
3.855726480484009,2.569
3.8687262535095215,2.451
3.876786231994629,2.412
3.889291286468506,2.039
3.8972928524017334,2.137
3.9093902111053467,2.157
3.917475938796997,2.353
3.9294750690460205,2.490
3.9384779930114746,2.627
3.9499855041503906,2.275
3.95804762840271,2.196
3.9710938930511475,2.235
3.9791529178619385,2.686
3.9871537685394287,2.431
3.9996683597564697,2.529
4.007735013961792,2.294
4.019803047180176,2.431
4.027804851531982,2.235
4.039855003356934,2.431
4.048978328704834,2.216
4.060978651046753,2.588
4.068977355957031,2.510
